Round,Date, Teama,FThome,FTaway,HThome,HTaway,,Teamb,1,2,Description
8,(Sat) 14 Oct 2017 (41),AFC Bournemouth,1,0,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,AFC Bournemouth,Tottenham Hotspur FC  Vs. AFC Bournemouth
8,(Sat) 14 Oct 2017 (41),Arsenal FC,2,1,0,1,,Watford FC,Watford FC,Arsenal FC,Watford FC  Vs. Arsenal FC
8,(Sun) 15 Oct 2017 (41),Everton FC,1,1,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Everton FC,Brighton & Hove Albion FC  Vs. Everton FC
8,(Sun) 15 Oct 2017 (41),Newcastle United FC,2,2,0,1,,Southampton FC,Southampton FC,Newcastle United FC,Southampton FC  Vs. Newcastle United FC
8,(Mon) 16 Oct 2017 (41),West Bromwich Albion FC,1,1,0,0,,Leicester City FC,Leicester City FC,West Bromwich Albion FC,Leicester City FC  Vs. West Bromwich Albion FC
9,(Fri) 20 Oct 2017 (42),Brighton & Hove Albion FC,0,3,0,2,,West Ham United FC,West Ham United FC,Brighton & Hove Albion FC,West Ham United FC  Vs. Brighton & Hove Albion FC
9,(Sat) 21 Oct 2017 (42),Watford FC,4,2,1,1,,Chelsea FC,Chelsea FC,Watford FC,Chelsea FC  Vs. Watford FC
9,(Sat) 21 Oct 2017 (42),Manchester United FC,2,1,2,0,,Huddersfield Town AFC,Huddersfield Town AFC,Manchester United FC,Huddersfield Town AFC  Vs. Manchester United FC
9,(Sat) 21 Oct 2017 (42),Burnley FC,3,0,1,0,,Manchester City FC,Manchester City FC,Burnley FC,Manchester City FC  Vs. Burnley FC
9,(Sat) 21 Oct 2017 (42),Crystal Palace FC,1,0,0,0,,Newcastle United FC,Newcastle United FC,Crystal Palace FC,Newcastle United FC  Vs. Crystal Palace FC
9,(Sat) 21 Oct 2017 (42),West Bromwich Albion FC,1,0,0,0,,Southampton FC,Southampton FC,West Bromwich Albion FC,Southampton FC  Vs. West Bromwich Albion FC
9,(Sat) 21 Oct 2017 (42),AFC Bournemouth,1,2,0,2,,Stoke City FC,Stoke City FC,AFC Bournemouth,Stoke City FC  Vs. AFC Bournemouth
9,(Sat) 21 Oct 2017 (42),Leicester City FC,1,2,0,1,,Swansea City AFC,Swansea City AFC,Leicester City FC,Swansea City AFC  Vs. Leicester City FC
9,(Sun) 22 Oct 2017 (42),Arsenal FC,2,5,1,1,,Everton FC,Everton FC,Arsenal FC,Everton FC  Vs. Arsenal FC
9,(Sun) 22 Oct 2017 (42),Liverpool FC,4,1,3,1,,Tottenham Hotspur FC,Tottenham Hotspur FC,Liverpool FC,Tottenham Hotspur FC  Vs. Liverpool FC
10,(Sat) 28 Oct 2017 (43),Swansea City AFC,2,1,0,1,,Arsenal FC,Arsenal FC,Swansea City AFC,Arsenal FC  Vs. Swansea City AFC
10,(Sat) 28 Oct 2017 (43),Chelsea FC,0,1,0,0,,AFC Bournemouth,AFC Bournemouth,Chelsea FC,AFC Bournemouth  Vs. Chelsea FC
10,(Sat) 28 Oct 2017 (43),West Ham United FC,2,2,0,2,,Crystal Palace FC,Crystal Palace FC,West Ham United FC,Crystal Palace FC  Vs. West Ham United FC
10,(Sat) 28 Oct 2017 (43),Huddersfield Town AFC,3,0,0,0,,Liverpool FC,Liverpool FC,Huddersfield Town AFC,Liverpool FC  Vs. Huddersfield Town AFC
10,(Sat) 28 Oct 2017 (43),Tottenham Hotspur FC,1,0,0,0,,Manchester United FC,Manchester United FC,Tottenham Hotspur FC,Manchester United FC  Vs. Tottenham Hotspur FC
10,(Sat) 28 Oct 2017 (43),Stoke City FC,0,1,0,1,,Watford FC,Watford FC,Stoke City FC,Watford FC  Vs. Stoke City FC
10,(Sat) 28 Oct 2017 (43),Manchester City FC,2,3,1,2,,West Bromwich Albion FC,West Bromwich Albion FC,Manchester City FC,West Bromwich Albion FC  Vs. Manchester City FC
10,(Sun) 29 Oct 2017 (43),Southampton FC,1,1,0,1,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Southampton FC,Brighton & Hove Albion FC  Vs. Southampton FC
10,(Sun) 29 Oct 2017 (43),Everton FC,2,0,2,0,,Leicester City FC,Leicester City FC,Everton FC,Leicester City FC  Vs. Everton FC
10,(Mon) 30 Oct 2017 (43),Newcastle United FC,1,0,0,0,,Burnley FC,Burnley FC,Newcastle United FC,Burnley FC  Vs. Newcastle United FC
11,(Sat) 4 Nov 2017 (44),West Bromwich Albion FC,1,0,1,0,,Huddersfield Town AFC,Huddersfield Town AFC,West Bromwich Albion FC,Huddersfield Town AFC  Vs. West Bromwich Albion FC
11,(Sat) 4 Nov 2017 (44),AFC Bournemouth,0,1,0,0,,Newcastle United FC,Newcastle United FC,AFC Bournemouth,Newcastle United FC  Vs. AFC Bournemouth
11,(Sat) 4 Nov 2017 (44),Burnley FC,0,1,0,0,,Southampton FC,Southampton FC,Burnley FC,Southampton FC  Vs. Burnley FC
11,(Sat) 4 Nov 2017 (44),Leicester City FC,2,2,1,1,,Stoke City FC,Stoke City FC,Leicester City FC,Stoke City FC  Vs. Leicester City FC
11,(Sat) 4 Nov 2017 (44),Brighton & Hove Albion FC,0,1,0,1,,Swansea City AFC,Swansea City AFC,Brighton & Hove Albion FC,Swansea City AFC  Vs. Brighton & Hove Albion FC
11,(Sat) 4 Nov 2017 (44),Liverpool FC,1,4,0,2,,West Ham United FC,West Ham United FC,Liverpool FC,West Ham United FC  Vs. Liverpool FC
11,(Sun) 5 Nov 2017 (44),Manchester United FC,1,0,0,0,,Chelsea FC,Chelsea FC,Manchester United FC,Chelsea FC  Vs. Manchester United FC
11,(Sun) 5 Nov 2017 (44),Watford FC,3,2,0,0,,Everton FC,Everton FC,Watford FC,Everton FC  Vs. Watford FC
11,(Sun) 5 Nov 2017 (44),Arsenal FC,3,1,1,0,,Manchester City FC,Manchester City FC,Arsenal FC,Manchester City FC  Vs. Arsenal FC
11,(Sun) 5 Nov 2017 (44),Crystal Palace FC,1,0,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Crystal Palace FC,Tottenham Hotspur FC  Vs. Crystal Palace FC
12,(Sat) 18 Nov 2017 (46),Tottenham Hotspur FC,2,0,2,0,,Arsenal FC,Arsenal FC,Tottenham Hotspur FC,Arsenal FC  Vs. Tottenham Hotspur FC
12,(Sat) 18 Nov 2017 (46),Huddersfield Town AFC,4,0,2,0,,AFC Bournemouth,AFC Bournemouth,Huddersfield Town AFC,AFC Bournemouth  Vs. Huddersfield Town AFC
12,(Sat) 18 Nov 2017 (46),Swansea City AFC,2,0,2,0,,Burnley FC,Burnley FC,Swansea City AFC,Burnley FC  Vs. Swansea City AFC
12,(Sat) 18 Nov 2017 (46),Everton FC,2,2,2,2,,Crystal Palace FC,Crystal Palace FC,Everton FC,Crystal Palace FC  Vs. Everton FC
12,(Sat) 18 Nov 2017 (46),Manchester City FC,0,2,0,1,,Leicester City FC,Leicester City FC,Manchester City FC,Leicester City FC  Vs. Manchester City FC
12,(Sat) 18 Nov 2017 (46),Southampton FC,3,0,2,0,,Liverpool FC,Liverpool FC,Southampton FC,Liverpool FC  Vs. Southampton FC
12,(Sat) 18 Nov 2017 (46),Newcastle United FC,4,1,2,1,,Manchester United FC,Manchester United FC,Newcastle United FC,Manchester United FC  Vs. Newcastle United FC
12,(Sat) 18 Nov 2017 (46),Chelsea FC,0,4,0,3,,West Bromwich Albion FC,West Bromwich Albion FC,Chelsea FC,West Bromwich Albion FC  Vs. Chelsea FC
12,(Sun) 19 Nov 2017 (46),West Ham United FC,2,0,1,0,,Watford FC,Watford FC,West Ham United FC,Watford FC  Vs. West Ham United FC
12,(Mon) 20 Nov 2017 (47),Stoke City FC,2,2,1,2,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Stoke City FC,Brighton & Hove Albion FC  Vs. Stoke City FC
13,(Fri) 24 Nov 2017 (47),Leicester City FC,1,1,1,1,,West Ham United FC,West Ham United FC,Leicester City FC,West Ham United FC  Vs. Leicester City FC
13,(Sat) 25 Nov 2017 (47),Stoke City FC,2,1,0,0,,Crystal Palace FC,Crystal Palace FC,Stoke City FC,Crystal Palace FC  Vs. Stoke City FC
13,(Sat) 25 Nov 2017 (47),Chelsea FC,1,1,0,0,,Liverpool FC,Liverpool FC,Chelsea FC,Liverpool FC  Vs. Chelsea FC
13,(Sat) 25 Nov 2017 (47),Brighton & Hove Albion FC,1,0,0,0,,Manchester United FC,Manchester United FC,Brighton & Hove Albion FC,Manchester United FC  Vs. Brighton & Hove Albion FC
13,(Sat) 25 Nov 2017 (47),Watford FC,0,3,0,2,,Newcastle United FC,Newcastle United FC,Watford FC,Newcastle United FC  Vs. Watford FC
13,(Sat) 25 Nov 2017 (47),AFC Bournemouth,0,0,0,0,,Swansea City AFC,Swansea City AFC,AFC Bournemouth,Swansea City AFC  Vs. AFC Bournemouth
13,(Sat) 25 Nov 2017 (47),West Bromwich Albion FC,1,1,0,1,,Tottenham Hotspur FC,Tottenham Hotspur FC,West Bromwich Albion FC,Tottenham Hotspur FC  Vs. West Bromwich Albion FC
13,(Sun) 26 Nov 2017 (47),Arsenal FC,0,1,0,0,,Burnley FC,Burnley FC,Arsenal FC,Burnley FC  Vs. Arsenal FC
13,(Sun) 26 Nov 2017 (47),Manchester City FC,1,2,1,0,,Huddersfield Town AFC,Huddersfield Town AFC,Manchester City FC,Huddersfield Town AFC  Vs. Manchester City FC
13,(Sun) 26 Nov 2017 (47),Everton FC,4,1,1,1,,Southampton FC,Southampton FC,Everton FC,Southampton FC  Vs. Everton FC
14,(Tue) 28 Nov 2017 (48),Crystal Palace FC,0,0,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Crystal Palace FC,Brighton & Hove Albion FC  Vs. Crystal Palace FC
14,(Tue) 28 Nov 2017 (48),Tottenham Hotspur FC,2,1,2,0,,Leicester City FC,Leicester City FC,Tottenham Hotspur FC,Leicester City FC  Vs. Tottenham Hotspur FC
14,(Tue) 28 Nov 2017 (48),Manchester United FC,2,4,0,3,,Watford FC,Watford FC,Manchester United FC,Watford FC  Vs. Manchester United FC
14,(Tue) 28 Nov 2017 (48),Newcastle United FC,2,2,1,0,,West Bromwich Albion FC,West Bromwich Albion FC,Newcastle United FC,West Bromwich Albion FC  Vs. Newcastle United FC
14,(Wed) 29 Nov 2017 (48),Huddersfield Town AFC,5,0,1,0,,Arsenal FC,Arsenal FC,Huddersfield Town AFC,Arsenal FC  Vs. Huddersfield Town AFC
14,(Wed) 29 Nov 2017 (48),Burnley FC,1,2,0,1,,AFC Bournemouth,AFC Bournemouth,Burnley FC,AFC Bournemouth  Vs. Burnley FC
14,(Wed) 29 Nov 2017 (48),Swansea City AFC,1,0,0,0,,Chelsea FC,Chelsea FC,Swansea City AFC,Chelsea FC  Vs. Swansea City AFC
14,(Wed) 29 Nov 2017 (48),West Ham United FC,4,0,2,0,,Everton FC,Everton FC,West Ham United FC,Everton FC  Vs. West Ham United FC
14,(Wed) 29 Nov 2017 (48),Southampton FC,2,1,0,0,,Manchester City FC,Manchester City FC,Southampton FC,Manchester City FC  Vs. Southampton FC
14,(Wed) 29 Nov 2017 (48),Liverpool FC,0,3,0,1,,Stoke City FC,Stoke City FC,Liverpool FC,Stoke City FC  Vs. Liverpool FC
15,(Sat) 2 Dec 2017 (48),Manchester United FC,1,3,0,2,,Arsenal FC,Arsenal FC,Manchester United FC,Arsenal FC  Vs. Manchester United FC
15,(Sat) 2 Dec 2017 (48),Liverpool FC,1,5,0,2,,Brighton & Hove Albion FCs,Brighton & Hove Albion FCs,Liverpool FC,Brighton & Hove Albion FCs  Vs. Liverpool FC
15,(Sat) 2 Dec 2017 (48),Newcastle United FC,3,1,2,1,,Chelsea FC,Chelsea FC,Newcastle United FC,Chelsea FC  Vs. Newcastle United FC
15,(Sat) 2 Dec 2017 (48),Huddersfield Town AFC,2,0,0,0,,Everton FC,Everton FC,Huddersfield Town AFC,Everton FC  Vs. Huddersfield Town AFC
15,(Sat) 2 Dec 2017 (48),Burnley FC,1,0,1,0,,Leicester City FC,Leicester City FC,Burnley FC,Leicester City FC  Vs. Burnley FC
15,(Sat) 2 Dec 2017 (48),Swansea City AFC,2,1,2,1,,Stoke City FC,Stoke City FC,Swansea City AFC,Stoke City FC  Vs. Swansea City AFC
15,(Sat) 2 Dec 2017 (48),Tottenham Hotspur FC,1,1,11,1,,Watford FC,Watford FC,Tottenham Hotspur FC,Watford FC  Vs. Tottenham Hotspur FC
15,(Sat) 2 Dec 2017 (48),Crystal Palace FC,0,0,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Crystal Palace FC,West Bromwich Albion FC  Vs. Crystal Palace FC
15,(Sun) 3 Dec 2017 (48),Southampton FC,1,1,1,0,,AFC Bournemouth,AFC Bournemouth,Southampton FC,AFC Bournemouth  Vs. Southampton FC
15,(Sun) 3 Dec 2017 (48),West Ham United FC,2,1,0,1,,Manchester City FC,Manchester City FC,West Ham United FC,Manchester City FC  Vs. West Ham United FC
16,(Sat) 9 Dec 2017 (49),Watford FC,1,0,1,0,,Burnley FC,Burnley FC,Watford FC,Burnley FC  Vs. Watford FC
16,(Sat) 9 Dec 2017 (49),AFC Bournemouth,2,2,2,2,,Crystal Palace FC,Crystal Palace FC,AFC Bournemouth,Crystal Palace FC  Vs. AFC Bournemouth
16,(Sat) 9 Dec 2017 (49),Brighton & Hove Albion FC,2,0,2,0,,Huddersfield Town AFC,Huddersfield Town AFC,Brighton & Hove Albion FC,Huddersfield Town AFC  Vs. Brighton & Hove Albion FC
16,(Sat) 9 Dec 2017 (49),Leicester City FC,2,3,1,1,,Newcastle United FC,Newcastle United FC,Leicester City FC,Newcastle United FC  Vs. Leicester City FC
16,(Sat) 9 Dec 2017 (49),West Bromwich Albion FC,1,0,0,0,,Swansea City AFC,Swansea City AFC,West Bromwich Albion FC,Swansea City AFC  Vs. West Bromwich Albion FC
16,(Sat) 9 Dec 2017 (49),Stoke City FC,5,1,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Stoke City FC,Tottenham Hotspur FC  Vs. Stoke City FC
16,(Sat) 9 Dec 2017 (49),Chelsea FC,1,0,1,0,,West Ham United FC,West Ham United FC,Chelsea FC,West Ham United FC  Vs. Chelsea FC
16,(Sun) 10 Dec 2017 (49),Everton FC,1,1,1,0,,Liverpool FC,Liverpool FC,Everton FC,Liverpool FC  Vs. Everton FC
16,(Sun) 10 Dec 2017 (49),Manchester City FC,1,2,1,1,,Manchester United FC,Manchester United FC,Manchester City FC,Manchester United FC  Vs. Manchester City FC
16,(Sun) 10 Dec 2017 (49),Arsenal FC,1,1,1,0,,Southampton FC,Southampton FC,Arsenal FC,Southampton FC  Vs. Arsenal FC
17,(Tue) 12 Dec 2017 (50),Stoke City FC,1,0,0,0,,Burnley FC,Burnley FC,Stoke City FC,Burnley FC  Vs. Stoke City FC
17,(Tue) 12 Dec 2017 (50),Watford FC,2,1,0,1,,Crystal Palace FC,Crystal Palace FC,Watford FC,Crystal Palace FC  Vs. Watford FC
17,(Tue) 12 Dec 2017 (50),Chelsea FC,1,3,0,2,,Huddersfield Town AFC,Huddersfield Town AFC,Chelsea FC,Huddersfield Town AFC  Vs. Chelsea FC
17,(Wed) 13 Dec 2017 (50),West Bromwich Albion FC,0,0,0,0,,Liverpool FC,Liverpool FC,West Bromwich Albion FC,Liverpool FC  Vs. West Bromwich Albion FC
17,(Wed) 13 Dec 2017 (50),AFC Bournemouth,1,0,1,0,,Manchester United FC,Manchester United FC,AFC Bournemouth,Manchester United FC  Vs. AFC Bournemouth
17,(Wed) 13 Dec 2017 (50),Everton FC,0,1,0,1,,Newcastle United FC,Newcastle United FC,Everton FC,Newcastle United FC  Vs. Everton FC
17,(Wed) 13 Dec 2017 (50),Leicester City FC,1,4,0,3,,Southampton FC,Southampton FC,Leicester City FC,Southampton FC  Vs. Leicester City FC
17,(Wed) 13 Dec 2017 (50),Manchester City FC,0,4,0,2,,Swansea City AFC,Swansea City AFC,Manchester City FC,Swansea City AFC  Vs. Manchester City FC
17,(Wed) 13 Dec 2017 (50),Brighton & Hove Albion FC,2,0,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Brighton & Hove Albion FC,Tottenham Hotspur FC  Vs. Brighton & Hove Albion FC
17,(Wed) 13 Dec 2017 (50),Arsenal FC,0,0,0,0,,West Ham United FC,West Ham United FC,Arsenal FC,West Ham United FC  Vs. Arsenal FC
18,(Sat) 16 Dec 2017 (50),Newcastle United FC,1,0,1,0,,Arsenal FC,Arsenal FC,Newcastle United FC,Arsenal FC  Vs. Newcastle United FC
18,(Sat) 16 Dec 2017 (50),Burnley FC,0,0,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Burnley FC,Brighton & Hove Albion FC  Vs. Burnley FC
18,(Sat) 16 Dec 2017 (50),Southampton FC,1,0,1,0,,Chelsea FC,Chelsea FC,Southampton FC,Chelsea FC  Vs. Southampton FC
18,(Sat) 16 Dec 2017 (50),Crystal Palace FC,0,3,0,2,,Leicester City FC,Leicester City FC,Crystal Palace FC,Leicester City FC  Vs. Crystal Palace FC
18,(Sat) 16 Dec 2017 (50),Tottenham Hotspur FC,4,1,1,0,,Manchester City FC,Manchester City FC,Tottenham Hotspur FC,Manchester City FC  Vs. Tottenham Hotspur FC
18,(Sat) 16 Dec 2017 (50),West Ham United FC,0,3,0,1,,Stoke City FC,Stoke City FC,West Ham United FC,Stoke City FC  Vs. West Ham United FC
18,(Sat) 16 Dec 2017 (50),Huddersfield Town AFC,1,4,0,2,,Watford FC,Watford FC,Huddersfield Town AFC,Watford FC  Vs. Huddersfield Town AFC
18,(Sun) 17 Dec 2017 (50),Liverpool FC,0,4,0,3,,AFC Bournemouth,AFC Bournemouth,Liverpool FC,AFC Bournemouth  Vs. Liverpool FC
18,(Sun) 17 Dec 2017 (50),Manchester United FC,1,2,0,2,,West Bromwich Albion FC,West Bromwich Albion FC,Manchester United FC,West Bromwich Albion FC  Vs. Manchester United FC
18,(Mon) 18 Dec 2017 (51),Swansea City AFC,3,1,1,1,,Everton FC,Everton FC,Swansea City AFC,Everton FC  Vs. Swansea City AFC
19,(Fri) 22 Dec 2017 (51),Liverpool FC,3,3,0,1,,Arsenal FC,Arsenal FC,Liverpool FC,Arsenal FC  Vs. Liverpool FC
19,(Sat) 23 Dec 2017 (51),Watford FC,1,0,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Watford FC,Brighton & Hove Albion FC  Vs. Watford FC
19,(Sat) 23 Dec 2017 (51),Tottenham Hotspur FC,0,3,0,1,,Burnley FC,Burnley FC,Tottenham Hotspur FC,Burnley FC  Vs. Tottenham Hotspur FC
19,(Sat) 23 Dec 2017 (51),Chelsea FC,0,0,0,0,,Everton FC,Everton FC,Chelsea FC,Everton FC  Vs. Chelsea FC
19,(Sat) 23 Dec 2017 (51),Manchester United FC,2,2,1,1,,Leicester City FC,Leicester City FC,Manchester United FC,Leicester City FC  Vs. Manchester United FC
19,(Sat) 23 Dec 2017 (51),AFC Bournemouth,4,0,1,0,,Manchester City FC,Manchester City FC,AFC Bournemouth,Manchester City FC  Vs. AFC Bournemouth
19,(Sat) 23 Dec 2017 (51),Huddersfield Town AFC,1,1,1,0,,Southampton FC,Southampton FC,Huddersfield Town AFC,Southampton FC  Vs. Huddersfield Town AFC
19,(Sat) 23 Dec 2017 (51),West Bromwich Albion FC,3,1,2,0,,Stoke City FC,Stoke City FC,West Bromwich Albion FC,Stoke City FC  Vs. West Bromwich Albion FC
19,(Sat) 23 Dec 2017 (51),Crystal Palace FC,1,1,0,0,,Swansea City AFC,Swansea City AFC,Crystal Palace FC,Swansea City AFC  Vs. Crystal Palace FC
19,(Sat) 23 Dec 2017 (51),Newcastle United FC,2,3,1,1,,West Ham United FC,West Ham United FC,Newcastle United FC,West Ham United FC  Vs. Newcastle United FC
20,(Tue) 26 Dec 2017 (52),West Ham United FC,3,3,1,1,,AFC Bournemouth,AFC Bournemouth,West Ham United FC,AFC Bournemouth  Vs. West Ham United FC
20,(Tue) 26 Dec 2017 (52),Brighton & Hove Albion FC,2,0,0,0,,Chelsea FC,Chelsea FC,Brighton & Hove Albion FC,Chelsea FC  Vs. Brighton & Hove Albion FC
20,(Tue) 26 Dec 2017 (52),Stoke City FC,1,1,1,0,,Huddersfield Town AFC,Huddersfield Town AFC,Stoke City FC,Huddersfield Town AFC  Vs. Stoke City FC
20,(Tue) 26 Dec 2017 (52),Swansea City AFC,5,0,1,0,,Liverpool FC,Liverpool FC,Swansea City AFC,Liverpool FC  Vs. Swansea City AFC
20,(Tue) 26 Dec 2017 (52),Burnley FC,2,2,0,2,,Manchester United FC,Manchester United FC,Burnley FC,Manchester United FC  Vs. Burnley FC
20,(Tue) 26 Dec 2017 (52),Southampton FC,5,2,2,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Southampton FC,Tottenham Hotspur FC  Vs. Southampton FC
20,(Tue) 26 Dec 2017 (52),Leicester City FC,2,1,1,1,,Watford FC,Watford FC,Leicester City FC,Watford FC  Vs. Leicester City FC
20,(Tue) 26 Dec 2017 (52),Everton FC,0,0,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Everton FC,West Bromwich Albion FC  Vs. Everton FC
20,(Wed) 27 Dec 2017 (52),Manchester City FC,0,1,0,1,,Newcastle United FC,Newcastle United FC,Manchester City FC,Newcastle United FC  Vs. Manchester City FC
20,(Thu) 28 Dec 2017 (52),Arsenal FC,2,3,0,1,,Crystal Palace FC,Crystal Palace FC,Arsenal FC,Crystal Palace FC  Vs. Arsenal FC
21,(Sat) 30 Dec 2017 (52),Everton FC,2,1,1,0,,AFC Bournemouth,AFC Bournemouth,Everton FC,AFC Bournemouth  Vs. Everton FC
21,(Sat) 30 Dec 2017 (52),Stoke City FC,5,0,3,0,,Chelsea FC,Chelsea FC,Stoke City FC,Chelsea FC  Vs. Stoke City FC
21,(Sat) 30 Dec 2017 (52),Burnley FC,0,0,0,0,,Huddersfield Town AFC,Huddersfield Town AFC,Burnley FC,Huddersfield Town AFC  Vs. Burnley FC
21,(Sat) 30 Dec 2017 (52),Leicester City FC,2,1,0,1,,Liverpool FC,Liverpool FC,Leicester City FC,Liverpool FC  Vs. Leicester City FC
21,(Sat) 30 Dec 2017 (52),Southampton FC,0,0,0,0,,Manchester United FC,Manchester United FC,Southampton FC,Manchester United FC  Vs. Southampton FC
21,(Sat) 30 Dec 2017 (52),Brighton & Hove Albion FC,0,0,0,0,,Newcastle United FC,Newcastle United FC,Brighton & Hove Albion FC,Newcastle United FC  Vs. Brighton & Hove Albion FC
21,(Sat) 30 Dec 2017 (52),Swansea City AFC,1,2,1,0,,Watford FC,Watford FC,Swansea City AFC,Watford FC  Vs. Swansea City AFC
21,(Sun) 31 Dec 2017 (52),Manchester City FC,0,0,0,0,,Crystal Palace FC,Crystal Palace FC,Manchester City FC,Crystal Palace FC  Vs. Manchester City FC
21,(Sun) 31 Dec 2017 (52),Arsenal FC,1,1,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Arsenal FC,West Bromwich Albion FC  Vs. Arsenal FC
22,(Mon) 1 Jan 2018 (1),AFC Bournemouth,2,2,1,1,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,AFC Bournemouth,Brighton & Hove Albion FC  Vs. AFC Bournemouth
22,(Mon) 1 Jan 2018 (1),Liverpool FC,1,2,0,0,,Burnley FC,Burnley FC,Liverpool FC,Burnley FC  Vs. Liverpool FC
22,(Mon) 1 Jan 2018 (1),Manchester United FC,0,2,0,0,,Everton FC,Everton FC,Manchester United FC,Everton FC  Vs. Manchester United FC
22,(Mon) 1 Jan 2018 (1),Huddersfield Town AFC,3,0,0,0,,Leicester City FC,Leicester City FC,Huddersfield Town AFC,Leicester City FC  Vs. Huddersfield Town AFC
22,(Mon) 1 Jan 2018 (1),Newcastle United FC,0,1,0,0,,Stoke City FC,Stoke City FC,Newcastle United FC,Stoke City FC  Vs. Newcastle United FC
22,(Tue) 2 Jan 2018 (1),Watford FC,3,1,2,0,,Manchester City FC,Manchester City FC,Watford FC,Manchester City FC  Vs. Watford FC
22,(Tue) 2 Jan 2018 (1),Crystal Palace FC,1,2,1,0,,Southampton FC,Southampton FC,Crystal Palace FC,Southampton FC  Vs. Crystal Palace FC
22,(Tue) 2 Jan 2018 (1),Tottenham Hotspur FC,0,2,0,1,,Swansea City AFC,Swansea City AFC,Tottenham Hotspur FC,Swansea City AFC  Vs. Tottenham Hotspur FC
22,(Tue) 2 Jan 2018 (1),West Bromwich Albion FC,2,1,0,1,,West Ham United FC,West Ham United FC,West Bromwich Albion FC,West Ham United FC  Vs. West Bromwich Albion FC
22,(Wed) 3 Jan 2018 (1),Chelsea FC,2,2,0,0,,Arsenal FC,Arsenal FC,Chelsea FC,Arsenal FC  Vs. Chelsea FC
22,(Thu) 4 Jan 2018 (1),West Ham United FC,1,1,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,West Ham United FC,Tottenham Hotspur FC  Vs. West Ham United FC
23,(Sat) 13 Jan 2018 (2),Leicester City FC,0,0,0,0,,Chelsea FC,Chelsea FC,Leicester City FC,Chelsea FC  Vs. Leicester City FC
23,(Sat) 13 Jan 2018 (2),Burnley FC,1,0,1,0,,Crystal Palace FC,Crystal Palace FC,Burnley FC,Crystal Palace FC  Vs. Burnley FC
23,(Sat) 13 Jan 2018 (2),West Ham United FC,1,4,1,1,,Huddersfield Town AFC,Huddersfield Town AFC,West Ham United FC,Huddersfield Town AFC  Vs. West Ham United FC
23,(Sat) 13 Jan 2018 (2),Swansea City AFC,1,1,0,0,,Newcastle United FC,Newcastle United FC,Swansea City AFC,Newcastle United FC  Vs. Swansea City AFC
23,(Sat) 13 Jan 2018 (2),Everton FC,4,0,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Everton FC,Tottenham Hotspur FC  Vs. Everton FC
23,(Sat) 13 Jan 2018 (2),Southampton FC,2,2,0,2,,Watford FC,Watford FC,Southampton FC,Watford FC  Vs. Southampton FC
23,(Sat) 13 Jan 2018 (2),Brighton & Hove Albion FC,2,0,1,0,,West Bromwich Albion FC,West Bromwich Albion FC,Brighton & Hove Albion FC,West Bromwich Albion FC  Vs. Brighton & Hove Albion FC
23,(Sun) 14 Jan 2018 (2),Arsenal FC,2,1,0,0,,AFC Bournemouth,AFC Bournemouth,Arsenal FC,AFC Bournemouth  Vs. Arsenal FC
23,(Sun) 14 Jan 2018 (2),Manchester City FC,4,3,1,1,,Liverpool FC,Liverpool FC,Manchester City FC,Liverpool FC  Vs. Manchester City FC
23,(Mon) 15 Jan 2018 (3),Stoke City FC,3,0,2,0,,Manchester United FC,Manchester United FC,Stoke City FC,Manchester United FC  Vs. Stoke City FC
24,(Sat) 20 Jan 2018 (3),Crystal Palace FC,4,1,4,0,,Arsenal FC,Arsenal FC,Crystal Palace FC,Arsenal FC  Vs. Crystal Palace FC
24,(Sat) 20 Jan 2018 (3),Chelsea FC,0,4,0,2,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Chelsea FC,Brighton & Hove Albion FC  Vs. Chelsea FC
24,(Sat) 20 Jan 2018 (3),Manchester United FC,0,1,0,0,,Burnley FC,Burnley FC,Manchester United FC,Burnley FC  Vs. Manchester United FC
24,(Sat) 20 Jan 2018 (3),West Bromwich Albion FC,1,1,0,1,,Everton FC,Everton FC,West Bromwich Albion FC,Everton FC  Vs. West Bromwich Albion FC
24,(Sat) 20 Jan 2018 (3),Watford FC,2,0,1,0,,Leicester City FC,Leicester City FC,Watford FC,Leicester City FC  Vs. Watford FC
